0-hammer-v1/return,0-hammer-v1/success,1-push-wall-v1/return,1-push-wall-v1/success,2-faucet-close-v1/return,2-faucet-close-v1/success,3-push-back-v1/return,3-push-back-v1/success,4-stick-pull-v1/return,4-stick-pull-v1/success,5-handle-press-side-v1/return,5-handle-press-side-v1/success,6-push-v1/return,6-push-v1/success,7-shelf-place-v1/return,7-shelf-place-v1/success,8-window-close-v1/return,8-window-close-v1/success,9-peg-unplug-side-v1/return,9-peg-unplug-side-v1/success,avg_return,test/deterministic/average_success,cl_method,x,steps_per_task,train/active_env
85964.8205686607,0.7,-30.39793922487172,0.0,-33.71751136793789,0.0,-111.95919012522002,0.0,-42.76985556199735,0.0,-41.27677679709234,0.0,-54.60467880296469,0.0,-56.65863051066648,0.0,-35.2572169178178,0.0,-36.5129610009832,0.0,8552.166580835114,0.0699999999999999,cotasp,200001,1000000,0
108123.9110094476,0.9,-35.204328121880344,0.0,-26.467484552000517,0.0,-113.80148281599914,0.0,-48.66343283495347,0.0,-49.71274878421253,0.0,-56.15508690432451,0.0,-42.55297243933767,0.0,-41.03398769868852,0.0,2170.5476393785093,0.0,10988.086712467471,0.09,cotasp,220001,1000000,0
137964.59705198853,1.0,-37.83243404287758,0.0,-53.23088079701808,0.0,-110.38923759831344,0.0,-56.7683386570444,0.0,-64.33799042616735,0.0,-91.69415888053685,0.0,-50.74716067093281,0.0,-70.56710380203529,0.0,3285.50577578558,0.0,14071.45355228992,0.1,cotasp,240001,1000000,0
112887.20309779583,0.9,-37.908849222507335,0.0,-38.76527012404212,0.0,-112.518762197695,0.0,-49.59050548017439,0.0,-41.993816608997456,0.0,-60.54280397327411,0.0,-52.773977945177634,0.0,-84.00751044725415,0.0,2125.9812388923583,0.0,11453.508284068908,0.09,cotasp,260001,1000000,0
129208.99793534836,1.0,-43.54121024407513,0.0,-31.30290457152035,0.0,-102.68033824584413,0.0,-58.32381972838217,0.0,-33.94697164353673,0.0,-48.20916207516114,0.0,-52.302121979999946,0.0,-57.286417730574286,0.0,2651.51821962533,0.0,13143.292320875456,0.1,cotasp,280001,1000000,0
101534.496224409,0.9,-46.77656630075239,0.0,4899.944839925737,0.0,-132.4997501911244,0.0,-63.72024394461099,0.0,-32.11468464961059,0.0,-47.808012915423454,0.0,-62.32874492158015,0.0,-58.49910737552367,0.0,-91.18334802409792,0.0,10589.9510606012,0.09,cotasp,300001,1000000,0
139829.08952561318,1.0,-41.22498550101032,0.0,-48.98530022810287,0.0,-143.80797191431355,0.0,-49.76298002378356,0.0,-41.713033538430544,0.0,-51.11583866147816,0.0,-68.22393402362952,0.0,-66.07359943742256,0.0,-103.48009978919796,0.0,13921.47017824958,0.1,cotasp,320001,1000000,0
148310.44413069126,1.0,-44.03651032402836,0.0,28.24857996810377,0.0,-140.46319956044755,0.0,-49.24663227741488,0.0,-47.30927785407298,0.0,-48.86192556869641,0.0,-57.85795818841022,0.0,-67.79032668543034,0.0,-108.89635418774604,0.0,14777.423052601316,0.1,cotasp,340001,1000000,0
138834.30822395632,1.0,-47.02550564715912,0.0,118.620571265331,0.0,-132.31237663712312,0.0,-65.04837677110842,0.0,-60.87245365034649,0.0,-46.342291735474376,0.0,-84.4244424424035,0.0,-65.7525637164791,0.0,-113.96868908223664,0.0,13833.718209553936,0.1,cotasp,360001,1000000,0
102298.09338289224,0.7,-50.710134980650125,0.0,-54.15480534876347,0.0,-140.5188760689841,0.0,-48.76838033392435,0.0,-58.444693004192175,0.0,-55.75009542398774,0.0,-92.70436927321587,0.0,-68.54976626404007,0.0,-115.55583023512722,0.0,10161.293643195935,0.0699999999999999,cotasp,380001,1000000,0
129311.74709219908,0.8,-49.39071676261957,0.0,4491.788672986229,0.0,-126.9736298569097,0.0,-48.349722110653374,0.0,-101.10235123966488,0.0,-43.68162403002034,0.0,-94.47124967448332,0.0,-64.02604422140828,0.0,-107.36623608758282,0.0,13316.817419120194,0.08,cotasp,400001,1000000,0
140377.11550240597,1.0,-54.20545254530148,0.0,893.1836442921561,0.0,-111.84282363471944,0.0,-47.26602113792563,0.0,-69.1805237181068,0.0,-40.1550388423791,0.0,-115.34372436639794,0.0,-71.41654026337548,0.0,-92.7556658540854,0.0,14066.813335633586,0.1,cotasp,420001,1000000,0
